=== CPU test (16 processes) ===
pid 7: cputime=3, waittime=12
pid 6: cputime=3, waittime=15
pid 11: cputime=3, waittime=11
pid 12: cputime=3, waittime=11
pid 9: cputime=4, waittime=14
pid 10: cputime=4, waittime=13
pid 15: cputime=3, waittime=11
pid 13: cputime=4, waittime=13
pid 14: cputime=4, waittime=11
pid 16: cputime=3, waittime=11
pid 4: cputime=4, waittime=18
pid 18: cputime=4, waittime=11
pid 5: cputime=4, waittime=17
pid 8: cputime=5, waittime=15
pid 19: cputime=3, waittime=11
pid 17: cputime=5, waittime=11
CPU test done

=== IO test (16 processes) ===
pid 20: cputime=0, waittime=4
pid 22: cputime=0, waittime=15
pid 21: cputime=0, waittime=12
pid 25: cputime=0, waittime=17
pid 24: cputime=0, waittime=27
pid 23: cputime=0, waittime=28
pid 26: cputime=0, waittime=36
pid 27: cputime=0, waittime=41
pid 28: cputime=0, waittime=46
pid 30: cputime=0, waittime=59
pid 31: cputime=0, waittime=64
pid 29: cputime=0, waittime=70
pid 32: cputime=0, waittime=77
pid 33: cputime=0, waittime=81
pid 34: cputime=0, waittime=86
pid 35: cputime=0, waittime=89
IO test done
